"Date","Open","Close","Change(Rp)","Change(%)","Volume"
"2022-03-21","1,905","1,880","25","1.34","117"
"2022-03-18","1,890","1,855","35","1.92","187"
"2022-03-17","1,880","1,820","60","3.40","421"
"2022-03-16","1,820","1,760","60","3.52","75"
"2022-03-15","1,650","1,700","-50","2.85","87"
"2022-03-14","1,755","1,750","5","0.28","56"
"2022-03-11","1,750","1,745","5","0.28","76"
"2022-03-10","1,760","1,740","20","1.16","141"
"2022-03-09","1,680","1,700","-20","1.16","37"
"2022-03-08","1,740","1,720","20","1.17","37"
"2022-03-07","1,680","1,700","-20","1.16","66"
"2022-03-01","1,745","1,720","25","1.47","37"
"2022-02-25","1,625","1,695","-70","3.96","346"
"2022-02-24","1,700","1,765","-65","3.55","234"
"2022-02-23","1,820","1,830","-10","0.54","41"
"2022-02-22","1,865","1,840","25","1.37","36"
"2022-02-21","1,820","1,815","5","0.27","45"
"2022-02-18","1,785","1,810","-25","1.36","229"
"2022-02-17","1,825","1,830","-5","0.27","9"
"2022-02-16","1,815","1,835","-20","1.07","136"
"2022-02-15","1,825","1,855","-30","1.59","110"
"2022-02-14","1,845","1,885","-40","2.07","62"
"2022-02-10","1,915","1,925","-10","0.51","70"
"2022-02-08","1,940","1,935","5","0.25","80"
"2022-02-04","1,920","1,930","-10","0.51","88"
"2022-02-03","1,960","1,940","20","1.04","139"
"2022-01-31","1,910","1,920","-10","0.51","56"
"2022-01-28","1,955","1,930","25","1.31","48"
"2022-01-27","1,890","1,905","-15","0.78","78"
"2022-01-26","1,875","1,920","-45","2.29","154"
"2022-01-25","1,875","1,920","-45","2.29","74"
"2022-01-24","1,930","1,965","-35","1.75","540"
"2022-01-21","2,010","2,000","10","0.50","345"
"2022-01-20","1,985","1,990","-5","0.25","118"
"2022-01-19","2,020","1,995","25","1.26","83"
"2022-01-18","1,985","1,970","15","0.76","137"
"2022-01-17","1,910","1,955","-45","2.25","146"
"2022-01-14","1,980","2,000","-20","0.99","76"
"2022-01-13","1,980","2,020","-40","1.94","140"
"2022-01-11","2,130","2,060","70","3.51","1,504"
"2022-01-10","1,980","1,990","-10","0.50","68"
"2022-01-07","1,990","2,000","-10","0.49","26"
"2022-01-06","2,060","2,010","50","2.55","44"
"2022-01-05","1,830","1,960","-130","6.22","266"
"2022-01-04","1,940","2,090","-150","6.69","218"
"2022-01-03","2,080","2,240","-160","6.66","313"
